date,NY,SF
2011/10/01 00:00:00,63.4,62.7
2011/10/02 00:00:00,58.0,59.9
2011/10/03 00:00:00,53.3,59.1
2011/10/04 00:00:00,55.7,58.8
2011/10/05 00:00:00,64.2,58.7
2011/10/06 00:00:00,58.8,57.0
2011/10/07 00:00:00,57.9,56.7
2011/10/08 00:00:00,61.8,56.8
2011/10/09 00:00:00,69.3,56.7
2011/10/10 00:00:00,71.2,60.1
2011/10/11 00:00:00,68.7,61.1
2011/10/12 00:00:00,61.8,61.5
2011/10/13 00:00:00,63.0,64.3
2011/10/14 00:00:00,66.9,67.1
2011/10/15 00:00:00,61.7,64.6
2011/10/16 00:00:00,61.8,61.6
2011/10/17 00:00:00,62.8,61.1
2011/10/18 00:00:00,60.8,59.2
2011/10/19 00:00:00,62.1,58.9
2011/10/20 00:00:00,65.1,57.2
2011/10/21 00:00:00,55.6,56.4
2011/10/22 00:00:00,54.4,60.7
2011/10/23 00:00:00,54.4,65.1
2011/10/24 00:00:00,54.8,60.9
2011/10/25 00:00:00,57.9,56.1
2011/10/26 00:00:00,54.6,54.6
2011/10/27 00:00:00,54.4,56.1
2011/10/28 00:00:00,42.5,58.1
2011/10/29 00:00:00,40.9,57.5
2011/10/30 00:00:00,38.6,57.7
2011/10/31 00:00:00,44.2,55.1
2011/11/01 00:00:00,49.6,57.9
2011/11/02 00:00:00,47.2,64.6
2011/11/03 00:00:00,50.1,56.2
2011/11/04 00:00:00,50.1,50.5
2011/11/05 00:00:00,43.5,51.3
2011/11/06 00:00:00,43.8,52.6
2011/11/07 00:00:00,48.9,51.4
2011/11/08 00:00:00,55.5,50.6
2011/11/09 00:00:00,53.7,54.6
2011/11/10 00:00:00,57.7,55.6
2011/11/11 00:00:00,48.5,53.9
2011/11/12 00:00:00,46.8,54.0
2011/11/13 00:00:00,51.1,53.8
2011/11/14 00:00:00,56.8,53.5
2011/11/15 00:00:00,59.7,53.4
2011/11/16 00:00:00,56.5,52.2
2011/11/17 00:00:00,49.6,52.7
2011/11/18 00:00:00,41.5,53.1
2011/11/19 00:00:00,44.3,49.0
2011/11/20 00:00:00,54.0,50.4
2011/11/21 00:00:00,54.1,51.1
2011/11/22 00:00:00,49.4,52.3
2011/11/23 00:00:00,50.0,54.6
2011/11/24 00:00:00,44.0,55.1
2011/11/25 00:00:00,50.3,51.5
2011/11/26 00:00:00,52.1,53.6
2011/11/27 00:00:00,49.6,52.3
2011/11/28 00:00:00,57.2,51.0
2011/11/29 00:00:00,59.1,49.5
2011/11/30 00:00:00,50.6,49.8
2011/12/01 00:00:00,44.3,60.4
2011/12/02 00:00:00,43.9,62.2
2011/12/03 00:00:00,42.1,58.3
2011/12/04 00:00:00,43.9,52.7
2011/12/05 00:00:00,50.2,51.5
2011/12/06 00:00:00,54.2,49.9
2011/12/07 00:00:00,54.6,48.6
2011/12/08 00:00:00,43.4,46.4
2011/12/09 00:00:00,42.2,49.8
2011/12/10 00:00:00,45.0,52.1
2011/12/11 00:00:00,33.8,48.8
2011/12/12 00:00:00,36.8,47.4
2011/12/13 00:00:00,38.6,47.2
2011/12/14 00:00:00,41.9,46.1
2011/12/15 00:00:00,49.6,48.8
2011/12/16 00:00:00,50.2,47.9
2011/12/17 00:00:00,40.6,49.8
2011/12/18 00:00:00,29.1,49.1
2011/12/19 00:00:00,33.7,48.3
2011/12/20 00:00:00,45.8,49.3
2011/12/21 00:00:00,47.4,48.4
2011/12/22 00:00:00,54.4,53.3
2011/12/23 00:00:00,47.8,47.5
2011/12/24 00:00:00,34.9,47.9
2011/12/25 00:00:00,35.9,48.9
2011/12/26 00:00:00,43.6,45.9
2011/12/27 00:00:00,42.9,47.2
2011/12/28 00:00:00,46.2,48.9
2011/12/29 00:00:00,30.8,50.9
2011/12/30 00:00:00,40.8,52.9
2011/12/31 00:00:00,49.8,50.1
2012/01/01 00:00:00,46.3,53.9
2012/01/02 00:00:00,43.2,53.1
2012/01/03 00:00:00,30.3,49.7
2012/01/04 00:00:00,19.2,52.7
2012/01/05 00:00:00,32.1,52.6
2012/01/06 00:00:00,41.2,49.0
2012/01/07 00:00:00,47.0,51.0
2012/01/08 00:00:00,46.0,56.8
2012/01/09 00:00:00,34.7,52.3
2012/01/10 00:00:00,39.4,51.6
2012/01/11 00:00:00,40.4,49.8
2012/01/12 00:00:00,45.4,51.9
2012/01/13 00:00:00,40.7,53.7
2012/01/14 00:00:00,30.4,52.9
2012/01/15 00:00:00,23.9,49.7
2012/01/16 00:00:00,22.6,45.3
2012/01/17 00:00:00,39.8,43.6
2012/01/18 00:00:00,43.2,45.0
2012/01/19 00:00:00,26.3,47.3
2012/01/20 00:00:00,32.8,51.4
2012/01/21 00:00:00,27.4,53.7
2012/01/22 00:00:00,25.0,48.3
2012/01/23 00:00:00,39.4,52.9
2012/01/24 00:00:00,48.7,49.1
2012/01/25 00:00:00,43.0,52.1
2012/01/26 00:00:00,37.1,53.6
2012/01/27 00:00:00,48.2,50.4
2012/01/28 00:00:00,43.7,50.3
2012/01/29 00:00:00,40.1,53.8
2012/01/30 00:00:00,38.0,51.9
2012/01/31 00:00:00,43.5,50.0
2012/02/01 00:00:00,50.4,50.0
2012/02/02 00:00:00,45.8,51.3
2012/02/03 00:00:00,37.5,51.5
2012/02/04 00:00:00,40.8,52.0
2012/02/05 00:00:00,36.5,53.8
2012/02/06 00:00:00,39.1,54.6
2012/02/07 00:00:00,43.2,54.3
2012/02/08 00:00:00,36.5,51.9
2012/02/09 00:00:00,36.5,53.8
2012/02/10 00:00:00,38.3,53.9
2012/02/11 00:00:00,36.9,52.3
2012/02/12 00:00:00,29.7,50.1
2012/02/13 00:00:00,33.1,49.5
2012/02/14 00:00:00,39.6,48.6
2012/02/15 00:00:00,42.3,49.9
2012/02/16 00:00:00,39.7,52.4
2012/02/17 00:00:00,46.0,49.9
2012/02/18 00:00:00,41.2,51.6
2012/02/19 00:00:00,39.8,47.8
2012/02/20 00:00:00,38.1,48.7
2012/02/21 00:00:00,37.1,49.7
2012/02/22 00:00:00,45.5,53.4
2012/02/23 00:00:00,50.6,54.1
2012/02/24 00:00:00,42.7,55.9
2012/02/25 00:00:00,42.6,51.7
2012/02/26 00:00:00,36.9,47.7
2012/02/27 00:00:00,40.9,45.4
2012/02/28 00:00:00,45.9,47.0
